,agent,agent_preference,num_connections,agent_connections
83,83,reality check trump is also defending the guy who called him an empty vessel  bootpruitt,3,"[13, 45, 69]"
84,84,reality check to top it all off pruitts spending and behavior is because according to many he wants to be tre,28,"[90, 87, 24, 14, 1, 71, 29, 47, 58, 99, 30, 49, 66, 25, 75, 95, 19, 8, 56, 53, 35, 21, 9, 3, 73, 15, 28, 61]"
85,85,my  smart tv has updated itself and tried to force me to use a new app from  and boy,8,"[99, 80, 57, 74, 23, 55, 13, 83]"
86,86,my  smart tv has updated itself and tried to force me to use a new app from  and boy,2,"[92, 25]"
87,87,from their own privacy policy  they track what you watch when you watch it your location,22,"[86, 49, 59, 67, 43, 60, 99, 16, 14, 6, 84, 52, 98, 23, 58, 93, 91, 27, 30, 56, 32, 92]"
88,88,this information is then used to market to you within the tv and offer you a hot list but it is also used to,24,"[71, 10, 97, 32, 69, 44, 31, 78, 18, 99, 43, 52, 49, 12, 26, 15, 45, 47, 86, 89, 67, 40, 60, 80]"
89,89,if you have a smart tv from any brand and its doing an update you will  want to disable sambasamba is not,27,"[71, 8, 54, 39, 9, 68, 67, 32, 82, 86, 18, 13, 43, 75, 94, 84, 27, 24, 37, 63, 16, 99, 14, 21, 17, 4, 31]"
90,90,this is a good time to say that if you own a smart tv from any company you should run it on a different network t,3,"[94, 23, 99]"
91,91,to disable samba the soft way dont agree to their tampcs post os upgradeto disable samba the hard way use a,19,"[75, 12, 44, 92, 76, 40, 20, 33, 19, 94, 78, 10, 37, 80, 88, 65, 32, 42, 67]"
92,92,and this is where i wish that dumb panels were all the rage and that the only smart functionality was external t,28,"[60, 62, 43, 12, 74, 7, 100, 46, 9, 55, 69, 45, 76, 32, 72, 95, 49, 4, 50, 18, 11, 30, 70, 1, 68, 82, 21, 78]"
93,93,i really wish that  provided a tv box that was the full android tv but that was vanilla google with the abi,10,"[87, 52, 31, 57, 69, 6, 66, 23, 53, 51]"
94,94,qanon greatawakening thestorm oigreportinternetbillofrights internetbillofrightsnow a thread about snow,24,"[71, 31, 78, 9, 96, 68, 98, 60, 61, 62, 2, 3, 91, 27, 70, 86, 97, 42, 83, 74, 90, 33, 18, 56]"
95,95,qanon greatawakening thestorm oigreportinternetbillofrights internetbillofrightsnow a thread about snow,10,"[78, 87, 84, 20, 43, 17, 66, 38, 63, 54]"
96,96,qanon greatawakening thestorm oigreportinternetbillofrights internetbillofrightsnow  in clowns operation,2,"[55, 51]"
97,97,qanon greatawakening thestorm oigreportinternetbillofrights internetbillofrightsnow  this opeation liv,12,"[38, 51, 83, 81, 53, 99, 5, 46, 69, 20, 15, 77]"
98,98,qanon greatawakening thestorm oigreportinternetbillofrights internetbillofrightsnow  with censuring the,18,"[83, 85, 87, 29, 21, 17, 61, 46, 66, 3, 94, 20, 43, 64, 100, 79, 69, 74]"
99,99,qanon greatawakening thestorm oigreportinternetbillofrights internetbillofrightsnow  we had this waldo,13,"[73, 70, 79, 25, 59, 53, 43, 11, 60, 82, 81, 76, 58]"
100,100,part  march  thread qanon asks to play wheres snowden in the picture below in chinahk live operation,30,"[48, 49, 58, 38, 20, 90, 17, 44, 25, 87, 81, 63, 37, 14, 83, 9, 64, 76, 42, 47, 46, 8, 18, 26, 84, 54, 91, 39, 33, 53]"
