,sender,receiver,message
40,23,32,> What do you think about the u.s. enforcing a similar contract with the FBI? Do you think the FBI is doing that at all?
41,23,39,> What do you think about the u.s. enforcing a similar contract with the FBI? Do you think the FBI is doing that at all?
42,23,42,> What do you think about the u.s. enforcing a similar contract with the FBI? Do you think the FBI is doing that at all?
43,23,49,> What do you think about the u.s. enforcing a similar contract with the FBI? Do you think the FBI is doing that at all?
44,24,23,"I think the people reading this are being very irrational, and some people have made a lot of inflammatory and shitlike comments in the past, but some of them seem to be very unattractive and very elitist, with some of them really being a bit unintelligible and the rest is in a resentment towards that part of them. The snooping is still a big deal in my book, but the ones that I read and find hilarious are generally very important to the larger picture."
45,28,23,"You're a skeptic. You can't really be a skeptic without snooping on a public property. You've been a skeptic for a year? How much does your income from your dreams have risen? Wearing masks does not help in stopping the virus, it's useless and I hate it."
46,35,23,I'm at the liar and am getting ready to go back and watch a special. What are you getting into right now?
47,50,23,"IANAL, but I see that yours is pretty interesting, as i believe it is a very high crime rate and not a high crime rate."
48,15,23,> I'm interested to know what the legal implications are for the president's decision to remove a british official.
49,16,23,"i can't find any evidence to support the claims that the people have been trying to deceive me in the past with the ""Morbid"" method."
50,23,2,"This was a good conversation for me, and it really made me think about the entire time I'm with the family."
51,23,5,"This was a good conversation for me, and it really made me think about the entire time I'm with the family."
52,23,7,"This was a good conversation for me, and it really made me think about the entire time I'm with the family."
53,23,8,"This was a good conversation for me, and it really made me think about the entire time I'm with the family."
54,23,10,"This was a good conversation for me, and it really made me think about the entire time I'm with the family."
55,23,13,"This was a good conversation for me, and it really made me think about the entire time I'm with the family."
56,23,32,"This was a good conversation for me, and it really made me think about the entire time I'm with the family."
57,23,39,"This was a good conversation for me, and it really made me think about the entire time I'm with the family."
58,23,42,"This was a good conversation for me, and it really made me think about the entire time I'm with the family."
59,23,49,"This was a good conversation for me, and it really made me think about the entire time I'm with the family."
60,24,23,"How would someone else do this? What would they do if they were to do it, and what would they do if they were going to do it?"
61,28,23,i feel like this is the worst possible scenario for people on this sub.
62,35,23,I listened to this and I just had the thought that it is based on what the FBI found and the evidence which is based on what the prosecutors found and the investigation.
63,50,23,What you are saying is a bunch of shit.
64,15,23,What he's saying is completely incorrect: [Brexiter favourite Max Fac would cost business between and bn a year thats almost of gdp jus how does he arrive at the figurem export consignments at an average cost of each bn times two be](https://www.craigslist.com/news/Tree-Broide/Tree-Facc/tr-tac-addition.php /tr-ea-Fac-
65,16,23,So you've had visions for over a year of waking up and turning my tv on and seeing arrests being made simultaneouslyl thread kenneys take on safe injection sites is horribly misguided even in a vacuum as points out but i think that the president is examining the nature of the agreement trump signed with national archives.
66,23,2,You are a hypocrite.
67,23,5,You are a hypocrite.
68,23,7,You are a hypocrite.
69,23,8,You are a hypocrite.
70,23,10,You are a hypocrite.
71,23,13,You are a hypocrite.
72,23,32,You are a hypocrite.
73,23,39,You are a hypocrite.
74,23,42,You are a hypocrite.
75,23,49,You are a hypocrite.
76,24,23,"'i am not sure what you mean by this. i am not sure what you mean by this. i am not sure what you mean by this. i'm not sure what you mean by this. i am not sure what you mean by this. i think that the intelligence community has a legitimate interest in making a fucking conspiracy against our country. I think that's really easy to make a case against something like this. It sounds like the intelligence community is doing everything imaginable, and i think that the"
77,28,23,[Britain] [Facts: i've been a skeptic for a year](https://en.wikipedia.org/wiki/Britain_Electry_Was_Britain](https://en.wikipedia.org/wiki/Britain_Electry_Was_Electry_Was_Elective_Was_Elective_Was_Elective_Was_Elective_Was_Elective_Wait](https://en.wikipedia.org
78,35,23,"[as the fbi reports](https://www.fbi.gov/en/gph/phsephtl/pdfs/the-fbi-fsg_and_cphscc/pdfs.html) is a report to Congress and the U.S. Department of State which contains a report detailing how the report is being made. A separate report can be made to this committee, so we'll need a separate report to cover this"
79,50,23,Are you a skeptic?
80,15,23,It's not about why he's a hypocrite. It's about why the FBI is going after a fake government document. It's about how the US government can't really be trusted by the private sector without having an oversight role.
81,16,23,">""The snooping is still a big deal in my book, but the ones that I read and find hilarious are generally very important to the larger picture."
82,23,2,Exactly. They aren't reporting on the financial stability of the private sector. There's no good reason to believe that this is all based on this.
83,23,5,Exactly. They aren't reporting on the financial stability of the private sector. There's no good reason to believe that this is all based on this.
84,23,7,Exactly. They aren't reporting on the financial stability of the private sector. There's no good reason to believe that this is all based on this.
85,23,8,Exactly. They aren't reporting on the financial stability of the private sector. There's no good reason to believe that this is all based on this.
86,23,10,Exactly. They aren't reporting on the financial stability of the private sector. There's no good reason to believe that this is all based on this.
87,23,13,Exactly. They aren't reporting on the financial stability of the private sector. There's no good reason to believe that this is all based on this.
88,23,32,Exactly. They aren't reporting on the financial stability of the private sector. There's no good reason to believe that this is all based on this.
89,23,39,Exactly. They aren't reporting on the financial stability of the private sector. There's no good reason to believe that this is all based on this.
90,23,42,Exactly. They aren't reporting on the financial stability of the private sector. There's no good reason to believe that this is all based on this.
91,23,49,Exactly. They aren't reporting on the financial stability of the private sector. There's no good reason to believe that this is all based on this.
92,24,23,I think the NSA is doing a great job of bringing down the NSA's own dicks.
93,28,23,A few other posts in the sub have been referencing a recent NSA investigation that showed a man wearing a mask...
94,35,23,Clearly you don't like the racial/ethnic divide. Surely the oligarchs should not allow that.
95,50,23,"I'm an American, and it sounds like this will only become less and less common."
96,15,23,">Why are you doing this? I am not sure what you mean by this. You are absolutely correct, you are an enlightened man. You are absolutely correct, you are an enlightened man."
97,16,23,The first one has been really scary. What do you think about the'snooping is still a big deal in my book?
98,23,2,"So, I'm not sure what is more interesting about the case, but what is more important is the fact that Trump is a liar."
99,23,5,"So, I'm not sure what is more interesting about the case, but what is more important is the fact that Trump is a liar."
100,23,7,"So, I'm not sure what is more interesting about the case, but what is more important is the fact that Trump is a liar."
101,23,8,"So, I'm not sure what is more interesting about the case, but what is more important is the fact that Trump is a liar."
102,23,10,"So, I'm not sure what is more interesting about the case, but what is more important is the fact that Trump is a liar."
103,23,13,"So, I'm not sure what is more interesting about the case, but what is more important is the fact that Trump is a liar."
104,23,32,"So, I'm not sure what is more interesting about the case, but what is more important is the fact that Trump is a liar."
105,23,39,"So, I'm not sure what is more interesting about the case, but what is more important is the fact that Trump is a liar."
106,23,42,"So, I'm not sure what is more interesting about the case, but what is more important is the fact that Trump is a liar."
107,23,49,"So, I'm not sure what is more interesting about the case, but what is more important is the fact that Trump is a liar."
108,24,23,"[Hey! I’m doing well! How are you? Because I’ve just read what you said here and I’m doing well! How are you? Because I love all the people who said that they are in the top 3 most controversial presidential candidates, and this thread demonstrates how they are a problem and not an option. I am not an expert, but I can say that I am one of those people."
109,28,23,The first thing I wanted to add was that I haven't heard that the NSA is taking away some of the information about this in the public domain.
110,35,23,"[NAME]: [NAME]: ""Have you ever heard of the fbi being responsible for [Harris]'s corruption and he has made a pretty outrageous bribery by knowingly lying to me about it? I'm just telling you that I don't think that it's a good idea to start investigating it because it's a major part of your job as a bluff. How will he get a job with a mrs. or a national press commission"" in Washington""(http"
111,50,23,What does it say about the snooping?
